new_omop_id	new_invalid_reason	status	OMOP_CONCEPT_ID	OMOP_CONCEPT_NAME	OMOP_QUANTITY	testId	n_subjects	n_records	p_values_missing_extracted_source	p_outcomes_NA_N_A_AA_L_LL_H_HH	decile_MEASUREMENT_VALUE	ksTest_pValue	ksTest_KS	CONVERSION_FACTOR	decile_MEASUREMENT_VALUE_HARMONIZED	ksTestHarmonized_pValue	ksTestHarmonized_KS	message
		UNCHECKED	0	Unmapped		promyelosyytit []	6498	13448	[ 100, 0, 0, 0]%	[ 0, 2.2, 0, 0, 0, 0, 0, 0, 97.8]%								
		UNCHECKED	0	Unmapped		-kskäynt []	1403	14197	[ 100, 0, 0, 0]%	[ 0, 0, 0, 0, 0, 0, 0, 0, 100]%								
		UNCHECKED	0	Unmapped		u-proteiini(kval) []	4941	7566	[ 100, 0, 0, 0]%	[ 0, 12.1, 9.7, 0, 0, 0, 0, 0, 78.3]%								
		UNCHECKED	0	Unmapped		p-happamuusaste(ionis.ca) []	8169	22410	[ 0, 100, 0, 0]%	[ 0, 27.2, 0, 0, 0, 0, 0, 0, 72.8]%								
		NOT-FOUND				e-erytrosyytit,kokojakaumaprosentti [%]	4543	24537	[ 0, 0, 100, 0]%	[ 0, 0.1, 1.3, 0, 0, 0, 32.6, 0, 66.1]%								
		UNCHECKED	0	Unmapped		pt-papahpv []	3858	6590	[ 100, 0, 0, 0]%	[ 0, 34.8, 0, 36.2, 0, 0, 0, 0, 29]%								
		UNCHECKED	0	Unmapped		c-reaktiivinenproteiini []	4482	6391	[ 100, 0, 0, 0]%	[ 0, 73.7, 0, 0, 0, 0, 0.3, 0, 26.1]%								
		NOT-FOUND				glomerulussuodosnopeus,estimo [ml/min/173m2]	17875	69299	[ 0, 0, 100, 0]%	[ 0, 47.9, 8.8, 0, 29.5, 0, 0, 0, 13.7]%								
		UNCHECKED	0	Unmapped		s-ngmuut []	15765	16771	[ 100, 0, 0, 0]%	[ 0, 0, 0, 0, 0, 0, 0, 0, 100]%								
		UNCHECKED	0	Unmapped		s-leukabo []	1735	7490	[ 100, 0, 0, 0]%	[ 0, 27.9, 5.8, 0, 0, 0, 0, 0, 66.4]%								
		UNCHECKED	0	Unmapped		b-perusverenkuva,trombosyytitjaneutrofiilit []	5807	24176	[ 100, 0, 0, 0]%	[ 0, 0, 0, 0, 0, 0, 0, 0, 100]%								
		NOT-FOUND				pt-glomerulussuodosnopeus,ckd-epi-kaava [ml/min/173m2]	2041	5605	[ 0, 0, 100, 0]%	[ 0, 0, 35.5, 0, 0, 0, 0, 0, 64.5]%								
		UNCHECKED	0	Unmapped		u-ominaispaino []	12919	28701	[ 100, 0, 0, 0]%	[ 0, 31, 0, 0, 0, 0, 0, 0, 69]%								
		UNCHECKED	0	Unmapped		b-baktvi-anaerobi []	5082	9943	[ 100, 0, 0, 0]%	[ 0, 27.8, 0, 0, 0, 0, 0, 0, 72.2]%								
		NOT-FOUND				p-laktaatti [mmol/l]	4521	11611	[ 0, 0, 100, 0]%	[ 0, 50.3, 9.8, 0, 1, 0, 5.6, 0, 33.3]%								
		UNCHECKED	0	Unmapped		u-inf []	20048	51515	[ 100, 0, 0, 0]%	[ 0, 0, 0, 0, 0, 0, 0, 0, 100]%								
		UNCHECKED	0	Unmapped		inbnho []	5285	7468	[ 100, 0, 0, 0]%	[ 0, 0, 0, 0, 0, 0, 0, 0, 100]%								
		UNCHECKED	0	Unmapped		b-bio-0 []	81820	85825	[ 100, 0, 0, 0]%	[ 0, 17.6, 0, 0, 0, 0, 0, 0, 82.4]%								
		UNCHECKED	0	Unmapped		lipidit,plasma []	7655	14830	[ 100, 0, 0, 0]%	[ 0, 8.6, 0, 0, 0, 0, 0, 0, 91.4]%								
		UNCHECKED	0	Unmapped		-chlamydiatrachomatisjaneisseriagonorrhoeae,nukleiinihappokotona(kval) []	3643	6639	[ 100, 0, 0, 0]%	[ 0, 100, 0, 0, 0, 0, 0, 0, 0]%								
		UNCHECKED	0	Unmapped		u-tutk/ottotapa []	3956	5668	[ 100, 0, 0, 0]%	[ 0, 27, 0, 0, 0, 0, 0, 0, 73]%								
		NOT-FOUND				perusverenkuvajatrombosyytit,verestä []	3544	8477	[ 100, 0, 0, 0]%	[ 0, 0, 0, 0, 0, 0, 0, 0, 100]%								
		UNCHECKED	0	Unmapped		pt-papa-tk []	12261	15081	[ 100, 0, 0, 0]%	[ 0, 4.8, 0.8, 0.1, 0, 0, 0, 0, 94.4]%								
		UNCHECKED	0	Unmapped		s-anca-t []	4223	5070	[ 100, 0, 0, 0]%	[ 0, 0.5, 0, 0, 0, 0, 0, 0, 99.5]%								
		UNCHECKED	0	Unmapped		bakteeri,viljelyvirtsasta []	3729	10088	[ 100, 0, 0, 0]%	[ 0, 0.1, 0, 0, 0, 0, 0, 0, 99.9]%								
		UNCHECKED	0	Unmapped		tth-scrcdt []	5854	6583	[ 100, 0, 0, 0]%	[ 0, 0, 0, 0, 0, 0, 0, 0, 100]%								
		UNCHECKED	0	Unmapped		u-happamuusaste []	3759	5381	[ 0, 100, 0, 0]%	[ 0, 58.1, 10.4, 0, 0, 0, 19.8, 0, 11.7]%								
		UNCHECKED	0	Unmapped		b-perusverenkuva []	14523	58206	[ 100, 0, 0, 0]%	[ 0, 2, 0, 0, 0, 0, 0, 0, 98]%								
		UNCHECKED	0	Unmapped		l-myelosyytti []	3686	10592	[ 100, 0, 0, 0]%	[ 0, 0, 0, 0, 0, 0, 0, 0, 100]%								
		UNCHECKED	0	Unmapped		b-leukosyytit,erittelylaskenta(mikrosk.) []	5141	12650	[ 100, 0, 0, 0]%	[ 0, 17.6, 0, 0, 0, 0, 0, 0, 82.4]%								
		UNCHECKED	0	Unmapped		l-promyelosyytti []	3686	10592	[ 100, 0, 0, 0]%	[ 0, 0, 0, 0, 0, 0, 0, 0, 100]%								
		UNCHECKED	0	Unmapped		c-reaktiivinenproteiini,herkkä,seerumista [mg/l]	6225	7411	[ 0, 0, 100, 0]%	[ 0, 90.6, 0.1, 0, 0, 0, 8.7, 0, 0.6]%								
		UNCHECKED	0	Unmapped		leuk-o []	2077	8377	[ 100, 0, 0, 0]%	[ 0, 0, 22.6, 0, 0, 0, 0, 0, 77.4]%								
		UNCHECKED	0	Unmapped		veriryhmävasta-aineet,seulonta,plasmasta []	2999	7056	[ 100, 0, 0, 0]%	[ 0, 0, 2.7, 0, 0, 0, 0, 0, 97.3]%								
		UNCHECKED	0	Unmapped		bakteerit []	4006	6094	[ 100, 0, 0, 0]%	[ 0, 17.9, 0, 0, 0, 0, 0, 0, 82.1]%								
		UNCHECKED	44806420	Estimation of glomerular filtration rate		pt-gfre-cg [ml/min/173m2]	4646	10060	[ 0, 0, 100, 0]%	[ 0, 79.6, 19.8, 0, 0, 0, 0, 0, 0.6]%								
		NOT-FOUND				tth-screennextgen []	13469	14214	[ 100, 0, 0, 0]%	[ 0, 0, 0, 0, 0, 0, 0, 0, 100]%								
		UNCHECKED	0	Unmapped		-influenssaa,b,rsvjacovid-19nukleiinihappo(kval) []	3145	5134	[ 100, 0, 0, 0]%	[ 0, 0.6, 13.4, 0, 0, 0, 0, 0, 85.9]%								
		NOT-FOUND				14272 []	2646	5212	[ 0, 100, 0, 0]%	[ 0, 0, 24, 0, 0, 0, 0, 0, 76]%								
		UNCHECKED	0	Unmapped		b-baktvi-aerobi []	5061	9838	[ 100, 0, 0, 0]%	[ 0, 28.1, 0, 0, 0, 0, 0, 0, 71.9]%								
		UNCHECKED	0	Unmapped		korona-rs-influenssa,pcrpikatesti []	4144	6428	[ 100, 0, 0, 0]%	[ 0, 34.5, 0.5, 0, 0, 0, 0, 0, 65]%								
		UNCHECKED	0	Unmapped		b-perusverenkuva,leukosyyttienerittelylaskenta,koneellinen []	3664	10066	[ 100, 0, 0, 0]%	[ 0, 0.2, 0, 0, 0, 0, 0, 0, 99.8]%								
		UNCHECKED	0	Unmapped		b-baktsvi []	2452	6478	[ 100, 0, 0, 0]%	[ 0, 0, 0, 0, 0, 0, 0, 0, 100]%								
		UNCHECKED	0	Unmapped		b-perusverenkuva,trombosyytitjaneutrofiilit,pvk+neut []	2642	8682	[ 100, 0, 0, 0]%	[ 0, 0, 0, 0, 0, 0, 0, 0, 100]%								
		UNCHECKED	0	Unmapped		lipidit []	5643	7338	[ 100, 0, 0, 0]%	[ 0, 14.6, 0, 0, 0, 0, 0, 0, 85.4]%								
		UNCHECKED	0	Unmapped		f-mm-touk []	3672	6826	[ 100, 0, 0, 0]%	[ 0, 5.4, 0, 0, 0, 0, 0, 0, 94.6]%								
		UNCHECKED	0	Unmapped		cb-veion []	4963	8950	[ 100, 0, 0, 0]%	[ 0, 0, 0, 0, 0, 0, 0, 0, 100]%								
		NOT-FOUND				8836 []	4192	6811	[ 100, 0, 0, 0]%	[ 0, 0, 16.6, 0, 0, 0, 0, 0, 83.4]%								
		UNCHECKED	0	Unmapped		glomerulussuodosnopeus,estimoitu,ckd-epi-kaava,osatutk. []	2047	7208	[ 100, 0, 0, 0]%	[ 0, 0, 0, 0, 0, 0, 0, 0, 100]%								
		NOT-FOUND				s-kalsium-ioni.aktuaali [mmol/l]	3148	9632	[ 0, 0, 100, 0]%	[ 0, 0.3, 0, 0, 0, 0, 0, 0, 99.7]%								
		UNCHECKED	0	Unmapped		-influenssab-virus,nukleiinihappo(kval) []	4376	7124	[ 100, 0, 0, 0]%	[ 0, 29.5, 0.2, 0, 0, 0, 0, 0, 70.3]%								
		NOT-FOUND				sydän-javerisuonitautiriski []	15600	16574	[ 100, 0, 0, 0]%	[ 0, 14.3, 5.7, 0, 0, 0, 0, 0, 80]%								
