group_id	TEST_NAME	UNIT	n	p_missing	deciles	LongName	prefix_meaning	suffix_meaning	group_path
5	chlamydiapneumoniae,nukleiinihappo(kval)		308	100					1.1.2.2.2.2.1
5	chlamydiapneumoniae,nukleiinihappoosoitus		603	100					1.1.2.2.2.2.1
5	chlamydiapneumoniae,nukleiiniohaponosoitus(pcr)		309	100					1.1.2.2.2.2.1
5	cryptosporidiumspp.,nukleiinihappo-osoitus		141	100					1.1.2.2.2.2.1
5	cryptosporidiumspp.nukleiinihappo		319	100					1.1.2.2.2.2.1
5	cyclosporacayetanensis,nukleiinihappo		319	100					1.1.2.2.2.2.1
5	dermatofyytit,nukleiinihappo		246	100					1.1.2.2.2.2.1
5	dermatofyytit,nukleiinihappo(kval)		192	100					1.1.2.2.2.2.1
5	dientamoebafragilis,nukleiinihappo		319	100					1.1.2.2.2.2.1
5	dientamoebafragilis,nukleiinihappo-osoitus		110	100					1.1.2.2.2.2.1
5	entamoebahistolytica,nukleiinihappo		319	100					1.1.2.2.2.2.1
5	entamoebahistolytica,nukleiinihappo-osoitus		110	100					1.1.2.2.2.2.1
5	epidermophytonfloccosum,nukleiinihappo(kval)		149	100					1.1.2.2.2.2.1
5	f-cryptosporidiumspp.,nukleiinihappo(kval)		346	100			Feces		1.1.2.2.2.2.1
5	f-cryptosporidiumspp.nukleiinihappo(kval)		112	100			Feces		1.1.2.2.2.2.1
5	f-cyclosporacayetanensis,nukleiinihappo(kval)		401	100			Feces		1.1.2.2.2.2.1
5	f-dientamoebafragilis,nukleiinihappo		202	100			Feces		1.1.2.2.2.2.1
5	f-eaec(enteroaggregatiivinene.coli),nukleiinihappo(kval)		398	100			Feces		1.1.2.2.2.2.1
5	f-entamoebahistolytica,nukleiinihappo		330	100			Feces		1.1.2.2.2.2.1
5	f-entamoebahistolytica,nukleiinihappo(kval)		345	100			Feces		1.1.2.2.2.2.1
5	f-entamoebahistolytica,nukleiinihappo-osoitus		222	100			Feces		1.1.2.2.2.2.1
5	f-entamoebahistolyticanukl.haponosoitus		182	100			Feces		1.1.2.2.2.2.1
5	f-entamoebahistolyticanukleiinihappo(kval)		115	100			Feces		1.1.2.2.2.2.1
5	f-epec(enteropatogeeninene.coli),nukleiinihappo(kval)		387	100			Feces		1.1.2.2.2.2.1
5	f-giardialamblia,nukleiinihappo		293	100			Feces		1.1.2.2.2.2.1
5	f-giardialamblia,nukleiinihappo(kval)		352	100			Feces		1.1.2.2.2.2.1
5	f-giardialamblia,nukleiinihappo-osoitus		222	100			Feces		1.1.2.2.2.2.1
5	f-giardialamblianuk.hapososoitus		182	100			Feces		1.1.2.2.2.2.1
5	f-giardialamblianukleiinihappo		155	100			Feces		1.1.2.2.2.2.1
5	f-giardialamblianukleiinihappo(kval)		117	100			Feces		1.1.2.2.2.2.1
5	f-ulosteenparasiitit,nukleiinihappo(kval)		313	100			Feces		1.1.2.2.2.2.1
5	f-vibrioparahaemolyticus,nukleiinihappo(kval)		343	100			Feces		1.1.2.2.2.2.1
5	f-vibriovulnificus,nukleiinihappo(kval)		343	100			Feces		1.1.2.2.2.2.1
5	f-viruspatogeenit,nukleiinihappo(kval)		804	100			Feces		1.1.2.2.2.2.1
5	giardialamblia,nukleiinihappo		318	100					1.1.2.2.2.2.1
5	giardialamblia,nukleiinihappo-osoitus		202	100					1.1.2.2.2.2.1
5	haemophilusinfluenzae,nukleiinihappo(kval)		408	100					1.1.2.2.2.2.1
5	haemophilusinfluenzaenukleiinihappo(kval)		154	100					1.1.2.2.2.2.1
5	humaanimetapneumovirus,nukleiinihappo(kval)		236	100					1.1.2.2.2.2.1
5	legionellapneumoniaenukleiinihappo(kval)		185	100					1.1.2.2.2.2.1
5	microsporumcanis,nukleiinihappo(kval)		119	100					1.1.2.2.2.2.1
5	mycoplasmapneumoniae,nukleiinihaponosoit(kval)		309	100					1.1.2.2.2.2.1
5	mycoplasmapneumoniae,nukleiinihappo(kval)		407	100					1.1.2.2.2.2.1
5	mycoplasmapneumoniae,nukleiinihappoosoitus		603	100					1.1.2.2.2.2.1
5	p-hepatiittic,iggvasta-aineetjanukleiinihappo,(kvant)		227	100			Plasma		1.1.2.2.2.2.1
5	respiratorisetmikrobit,nukleiinihappo(kval)		449	100					1.1.2.2.2.2.1
5	seksivälitteisetmikrobit,nukleiinihappo(kval)		139	100					1.1.2.2.2.2.1
5	streptococcuspneumoniae,nukleiinihappo(kval)		443	100					1.1.2.2.2.2.1
5	streptococcuspneumoniaenukleiinihappo(kval)		154	100					1.1.2.2.2.2.1
5	trichophytonrubrum,nukleiinihappo(kval)		132	100					1.1.2.2.2.2.1
5	ulosteenparasiitit,nukleiinihappo(kval)		155	100					1.1.2.2.2.2.1
5	ulosteenparasiitit,nukleiinihappo-osoitus		492	100					1.1.2.2.2.2.1
6	-adenovirus,nukleiinihappo(kval)		235	100					1.1.2.2.2.2.2
6	-bakteeri,nukleiinihappo-osoitus		151	100					1.1.2.2.2.2.2
6	-bocavirus,nukleenihappo		840	100					1.1.2.2.2.2.2
6	-gardnerellavaginalis,nukleiinihappo		270	100					1.1.2.2.2.2.2
6	-herpessimplex-virus1,nukleiinihappo		125	100					1.1.2.2.2.2.2
6	-herpessimplex2,nukleiinihappo		125	100					1.1.2.2.2.2.2
6	-herpessimplexvirus,nukleiinihappo(kval)		151	100					1.1.2.2.2.2.2
6	-jc-virusnukleiinihappo(kvant)		340	100					1.1.2.2.2.2.2
6	-koronavirus,nukleiinihappo(kval)		233	100					1.1.2.2.2.2.2
6	-koronavirus229e,nukleiinihappo		568	100					1.1.2.2.2.2.2
6	-koronavirushku1,nukleiinihappo		640	100					1.1.2.2.2.2.2
6	-koronavirusnl63,nukleiinihappo		568	100					1.1.2.2.2.2.2
6	-koronavirusoc43,nukleiinihappo		568	100					1.1.2.2.2.2.2
6	-papilloomavirus(hpv),nukleiinihappo(kval)		179	100					1.1.2.2.2.2.2
6	-papilloomavirus(hpv),nukleiinihappo(kval),suu		351	100					1.1.2.2.2.2.2
6	-papilloomavirus(hpv),suurenriskin,dna-osoitus		1187	100					1.1.2.2.2.2.2
6	-papilloomavirus,muukorkeanriskintyyppi		320	100					1.1.2.2.2.2.2
6	-papilloomavirus,muusuurenriskintyyppi,nuklei		173	100					1.1.2.2.2.2.2
6	-papilloomavirus,tyyppi16,nukleiinihappo(kval)		172	100					1.1.2.2.2.2.2
6	-papilloomavirus,tyyppi18,nukleiinihappo(kval)		172	100					1.1.2.2.2.2.2
6	-polyomavirus(jcv,bkv),nukleiinihaponos.(pcr)kvant.		119	100					1.1.2.2.2.2.2
6	-polyomavirus,nukleiinihappo(kvant)		221	100					1.1.2.2.2.2.2
6	-rino-/enterovirus,nukleiinihappo(kval)		233	100					1.1.2.2.2.2.2
6	-rino/enterovirus,nukleiinihappo		638	100					1.1.2.2.2.2.2
6	-rs-virus,nukeliinihapon(kval)		574	100					1.1.2.2.2.2.2
6	-rs-virus,nukleiinihappo(kav)		381	100					1.1.2.2.2.2.2
6	-rs-virus,nukleiinihappo(kva)		356	100					1.1.2.2.2.2.2
6	-rs-virus,nukleiinihappo(kval)		3637	100					1.1.2.2.2.2.2
6	-sieninukleiinihappo		203	100					1.1.2.2.2.2.2
6	adenovirus,nukeliinihappo(kval)␤		307	100					1.1.2.2.2.2.2
6	adenovirus,nukleiinihappo(kv		544	100					1.1.2.2.2.2.2
6	adenovirus,nukleiinihappo(kval)		225	100					1.1.2.2.2.2.2
