concept_id,omop_quantity
3010423,Identifier
3014648,Type
3027172,Volume Fraction
3003281,Presence or Threshold
3013395,Volume Fraction
3027675,Substance Concentration
3009282,Substance Concentration
3011313,Substance Concentration
3015313,Substance Concentration
3019306,Substance Concentration
3021957,Substance Concentration
3005399,Substance Concentration
3000877,Substance Concentration
3010273,Titer
3010501,Substance Concentration
3016221,Substance Concentration
3021615,Substance Concentration
3022633,Substance Concentration
3005909,Substance Concentration
3000439,Substance Concentration
3003696,Substance Concentration
3002526,Substance Concentration
3001449,Substance Concentration
3002171,Presence or Threshold
3019995,Identifier
3019172,Presence or Identity
3000352,Identifier
3002268,Type
3001945,Type
3020615,Type
3023679,Presence or Threshold
3036374,Identifier
3036893,Identifier
3037126,Identifier
3020576,Identifier
3002143,Identifier
3035539,Identifier
3037259,Identifier
3037782,Identifier
3037295,Presence or Threshold
3033782,Identifier
3021523,Identifier
3012411,Identifier
3015379,Identifier
3008671,Identifier
3017046,Identifier
3034143,Identifier
3022437,Identifier
3037821,Presence or Threshold
3013313,Identifier
3015723,Identifier
3016858,Identifier
3017702,Identifier
3007390,Presence or Identity
3033821,Presence or Threshold
3017769,Presence or Identity
3018324,Presence or Identity
3014261,Presence or Identity
3014240,Presence or Identity
3003950,Presence or Identity
3007506,Presence or Identity
3006562,Presence or Identity
3023025,Presence or Identity
3025503,Presence or Identity
3026634,Presence or Identity
3008738,Presence or Identity
3008173,Presence or Identity
3007007,Presence or Identity
3005964,Presence or Identity
3025849,Presence or Identity
3027291,Presence or Identity
3028127,Presence or Identity
3028654,Presence or Identity
3021799,Presence or Threshold
3023977,Presence or Identity
3010507,Identifier
3025500,Identifier
3026628,Identifier
3027222,Identifier
3010276,Identifier
3028282,Identifier
3009587,Identifier
3001819,Presence or Threshold
3009811,Identifier
3015614,Identifier
3018992,Identifier
3022261,Identifier
3023974,Identifier
3010258,Identifier
3010790,Identifier
3016516,Identifier
3000720,Presence or Threshold
3021914,Identifier
3022937,Identifier
3023460,Identifier
3000511,Identifier
3003766,Identifier
3002673,Identifier
3028293,Susceptibility (microorganisms)
3022823,Presence or Identity
3019252,Identifier
3038188,Presence or Threshold
3019472,Substance Rate
3004537,Appearance
3003441,Identifier
3002326,Presence or Identity
3002003,Identifier
3020688,Number Fraction
3036663,Number Fraction
3037194,Number Fraction
3033876,Presence or Threshold
3004411,Number Fraction
3003310,Type
3001580,Mass Concentration
3023410,Appearance
3037551,Arbitrary Concentration
3038077,Type
3033841,Mass Concentration
3021530,Mass Concentration
3012712,Mass Concentration
3015983,Mass Concentration
3038158,Mass Concentration
3033906,Mass Concentration
3034436,Mass Concentration
3022737,Mass Concentration
3013376,Mass Concentration
3011666,Mass Concentration
3017154,Arbitrary Concentration
3018002,Presence or Identity
3034112,Impression/interpretation of study
3018553,Presence or Threshold
3014477,Arbitrary Concentration
3009368,Titer
3013180,Arbitrary Concentration
3018069,Presence or Identity
3018624,Presence or Identity
3014320,Presence or Identity
3022467,Volume
3014837,Presence or Identity
3007654,Presence or Identity
3006391,Titer
3023015,Titer
3015218,Arbitrary Concentration
3015752,Arbitrary Concentration
3016278,Presence or Threshold
3013054,Presence or Threshold
3008236,Presence or Threshold
3007126,Mass Content
3006028,Mass Concentration
3025911,Mass Concentration
3027583,Mass Concentration
3028406,Mass Concentration
3028644,Mass Content
3007340,Mass Content
3011942,Presence or Threshold
3005686,Presence or Threshold
3026805,Presence or Threshold
3028468,Presence or Threshold
3023873,Presence or Threshold
3024417,Presence or Threshold
3010950,Presence or Threshold
3011151,Presence or Threshold
3011987,Presence or Threshold
3009408,Presence or Threshold
3024783,Presence or Threshold
3025616,Presence or Threshold
3010008,Volume
3020206,Volume
3020122,Volume
3017125,Presence or Threshold
3005506,Type
3013555,Type
3010977,Volume
3014369,Volume
3021326,Volume
3000104,Volume
3017973,Presence or Threshold
3003027,Volume
3001922,Presence or Threshold
3000595,Presence or Threshold
3009601,Susceptibility (microorganisms)
3020119,Presence or Threshold
3004465,Volume
3002757,Volume
3001646,Volume
3035001,Presence or Threshold
3019098,Volume
3037846,Presence or Threshold
3033537,Presence or Threshold
3033531,Presence or Threshold
3021829,Volume
3000751,Volume
3020263,Presence or Threshold
3034206,Volume
3034736,Volume
3022735,Volume
3013674,Volume
3012264,Volume
3017167,Volume
3018315,Volume
3035621,Volume
3013952,Presence or Threshold
3036224,Volume
3009665,Volume
3012859,Volume
3018379,Volume
3008485,Volume
3014619,Volume
3015143,Volume
3008902,Volume
3007540,Presence or Threshold
3014143,Presence or Threshold
3008979,Presence or Threshold
3015513,Presence or Threshold
3016053,Presence or Threshold
3016340,Presence or Threshold
3008302,Presence or Threshold
3007138,Presence or Threshold
3006102,Presence or Threshold
3026213,Presence or Threshold
3012597,Presence or Threshold
3027870,Presence or Threshold
3004224,Presence or Threshold
3006856,Presence or Threshold
3005691,Presence or Threshold
3027099,Presence or Threshold
3028534,Presence or Threshold
3024175,Presence or Threshold
3017800,Presence or Threshold
3025015,Presence or Threshold
3011537,Presence or Threshold
3026071,Mass Concentration
3025211,Mass Concentration
3024262,Substance Concentration
3025083,Mass Concentration
3025917,Mass Concentration
3012214,Mass Concentration
3026431,Mass Concentration
3012949,Mass Concentration
3010376,Presence or Threshold
3010269,Presence or Threshold
3020498,Presence or Threshold
3013122,Presence or Threshold
3027345,Presence or Threshold
3013850,Presence or Threshold
3011035,Presence or Threshold
3014667,Presence or Threshold
3019614,Presence or Threshold
3021391,Substance Concentration
3005280,Presence or Threshold
3000217,Presence or Threshold
3003092,Presence or Threshold
3015642,Presence or Threshold
3019345,Presence or Threshold
3022273,Presence or Threshold
3005417,Presence or Threshold
3000952,Presence or Threshold
3003591,Presence or Threshold
3002495,Presence or Threshold
3001390,Presence or Threshold
3019709,Presence or Threshold
3035107,Presence or Threshold
3000481,Presence or Threshold
3003794,Presence or Threshold
3002690,Presence or Threshold
3001042,Presence or Threshold
3020364,Presence or Threshold
3035754,Presence or Threshold
3036552,Presence or Threshold
3037387,Presence or Threshold
3020294,Presence or Threshold
3009231,Presence or Threshold
3020956,Presence or Threshold
3036678,Presence or Threshold
3037211,Presence or Threshold
3037736,Presence or Threshold
3021185,Presence or Threshold
3012078,Presence or Threshold
3015092,Presence or Threshold
3009158,Presence or Threshold
3016183,Presence or Threshold
3017020,Presence or Threshold
3020283,Presence or Threshold
3009214,Arbitrary Concentration
3014433,Presence or Threshold
3009043,Presence or Threshold
3015809,Presence or Threshold
3016342,Presence or Threshold
3016952,Presence or Threshold
3004015,Presence or Threshold
3007273,Presence or Threshold
3006162,Presence or Threshold
3016465,Presence or Threshold
3017002,Presence or Threshold
3008111,Impression/interpretation of study
3017530,Presence or Threshold
3004060,Presence or Threshold
3006921,Presence or Threshold
3005814,Presence or Threshold
3027387,Presence or Threshold
3023951,Presence or Threshold
3024470,Presence or Threshold
3025309,Presence or Threshold
3007901,Presence or Threshold
3006728,Presence or Threshold
3025270,Presence or Threshold
3024559,Presence or Threshold
3025378,Presence or Identity
3025986,Presence or Identity
3012512,Presence or Identity
3026439,Presence or Identity
3013243,Mass Concentration
3010671,Mass Concentration
3026056,Mass Concentration
3026886,Mass Concentration
3027951,Mass Concentration
3013914,Mass Concentration
3011335,Mass Concentration
3014963,Mass Concentration
3005289,Mass Concentration
3009909,Mass Concentration
3010442,Mass Concentration
3015934,Mass Concentration
3019017,Mass Concentration
3022579,Presence or Threshold
3005249,Mass Concentration
3000395,Mass Concentration
3003644,Mass Concentration
3002551,Mass fraction
3001461,Mass Concentration
3023794,Mass Concentration
3000231,Mass Concentration
3003858,Catalytic Concentration
3001107,Entitic Catalytic Activity
3036323,Substance Concentration
3036845,Substance Concentration
3003143,Arbitrary Concentration
3002090,Substance Concentration
3035547,Number Concentration
3036684,Number Concentration
3037495,Volume
3038038,Arbitrary Concentration
3012127,Substance Concentration
3015395,Type
3008684,Type
3010122,Susceptibility (microorganisms)
3038118,Presence or Threshold
3013024,Type
3011618,Substance Concentration
3017420,Number Concentration
3017964,Catalytic Concentration
3018505,Substance Concentration
3004879,Number Concentration
3012282,Time (e.g. seconds)
3018033,Log molar concentration
3018872,Substance Concentration
3003898,Number Concentration
3026173,Presence or Threshold
3022981,Number Concentration
3021401,Number Concentration
3015161,Number Concentration
3008919,Number Concentration
3007568,Number Concentration
3006408,Number Fraction
3023308,Number Fraction
3027555,Presence or Threshold
3024321,Presence or Threshold
3022968,Presence or Threshold
3025512,Presence or Threshold
3026349,Number Fraction
3016597,Presence or Threshold
3027178,Number Fraction
3010293,Number Fraction
3027631,Number Fraction
3009301,Number Fraction
3009837,Number Fraction
3015260,Number Fraction
3019330,Number Fraction
3028361,Number Fraction
3028597,Number Fraction
3010210,Number Fraction
3010739,Number Fraction
3016235,Number Fraction
3021867,Number Fraction
3022884,Number Fraction
3005855,Number Fraction
3000457,Number Fraction
3003716,Number Fraction
3014043,Number Fraction
3022536,Number Fraction
3023258,Number Fraction
3019187,Number Fraction
3000292,Number Fraction
3003386,Number Fraction
3002285,Number Fraction
3001953,Number Fraction
3021270,Number Fraction
3036614,Number Fraction
3005466,Length
3004290,Substance Concentration
3002156,Substance Concentration
3023659,Mass fraction
3036979,Presence or Identity
3037790,Presence or Identity
3033790,Presence or Identity
3021779,Number Concentration
3012431,Presence or Identity
3038167,Presence or Identity
3033850,Presence or Identity
3034384,Presence or Identity
3022448,Presence or Identity
3013325,Presence or Threshold
3011908,Presence or Identity
3016575,Presence or Identity
3017717,Presence or Identity
3018267,Presence or Identity
3015326,Titer
3020253,Presence or Threshold
3013994,Presence or Threshold
3012582,Presence or Threshold
3017781,Susceptibility (microorganisms)
3018633,Susceptibility (microorganisms)
3014268,Presence or Identity
3014787,Presence or Identity
3007669,Presence or Identity
3006578,Presence or Identity
3008089,Presence or Threshold
3014628,Presence or Identity
3015462,Presence or Identity
3008747,Presence or Identity
3008187,Presence or Identity
3007013,Number Concentration
3005977,Presence or Identity
3026152,Presence or Identity
3027244,Presence or Identity
3028143,Presence or Identity
3004029,Presence or Threshold
3007286,Presence or Identity
3006108,Presence or Identity
3026814,Presence or Threshold
3027898,Presence or Threshold
3023820,Presence or Threshold
3024429,Arbitrary Concentration
3010962,Presence or Threshold
3024673,Presence or Threshold
3011515,Presence or Threshold
3011712,Presence or Threshold
3023904,Presence or Identity
3024494,Presence or Identity
3011865,Presence or Identity
3026094,Presence or Identity
3012367,Presence or Identity
3011212,Presence or Threshold
3009785,Presence or Identity
3023625,Presence or Identity
3020170,Presence or Identity
3020394,Presence or Identity
3027057,Presence or Identity
3013263,Presence or Identity
3010689,Presence or Identity
3014382,Presence or Identity
3010889,Presence or Threshold
3020516,Presence or Identity
3020744,Presence or Identity
3005101,Presence or Identity
3000116,Susceptibility (microorganisms)
3002982,Susceptibility (microorganisms)
3001872,Presence or Identity
3019851,Presence or Identity
3020389,Presence or Identity
3027732,Presence or Threshold
3005518,Presence or Identity
3004361,Presence or Identity
3003327,Presence or Identity
3001601,Presence or Threshold
3019065,Presence or Identity
