concept_id	concept_code	concept_name	vocabulary_id	is_panel	has_component	has_property	has_method	has_scale_type	has_system	has_time_aspect
507463	1062291000000101	Wound Care TOM (Therapy Outcome Measure) wellbeing score	SNOMED	FALSE						
507464	1062301000000102	Anorexia Nervosa and Bulimia Nervosa TOM (Therapy Outcome Measure) activity score	SNOMED	FALSE						
507465	1062311000000100	Anorexia Nervosa and Bulimia Nervosa TOM (Therapy Outcome Measure) carer wellbeing score	SNOMED	FALSE						
507466	1062321000000106	Anorexia Nervosa and Bulimia Nervosa TOM (Therapy Outcome Measure) impairment score	SNOMED	FALSE						
507467	1062331000000108	Anorexia Nervosa and Bulimia Nervosa TOM (Therapy Outcome Measure) participation score	SNOMED	FALSE						
507468	1062341000000104	Anorexia and Bulimia Nervosa TOM (Therapy Outcome Measure) wellbeing score	SNOMED	FALSE						
507469	1062351000000101	AAC (Augmentative and Alternative Communication) TOM (Therapy Outcome Measure) carer wellbeing score	SNOMED	FALSE						
507470	1062361000000103	AAC (Augmentative and Alternative Communication) (unaided) TOM (Therapy Outcome Measure) activity score	SNOMED	FALSE						
507471	1062371000000105	AAC (Augmentative and Alternative Communication) (aided) TOM (Therapy Outcome Measure) activity score	SNOMED	FALSE						
507472	1062381000000107	AAC (Augmentative and Alternative Communication) (aided) TOM (Therapy Outcome Measure) participation score	SNOMED	FALSE						
507473	1062391000000109	AAC (Augmentative and Alternative Communication) (aided) TOM (Therapy Outcome Measure) wellbeing score	SNOMED	FALSE						
507474	1062401000000107	AAC (Augmentative and Alternative Communication) (unaided) TOM (Therapy Outcome Measure) participation score	SNOMED	FALSE						
507475	1062411000000109	AAC (Augmentative and Alternative Communication) (unaided) TOM (Therapy Outcome Measure) wellbeing score	SNOMED	FALSE						
507476	1062421000000103	Autistic Spectrum Disorder TOM (Therapy Outcome Measure) activity score	SNOMED	FALSE						
507477	1062441000000105	Autistic Spectrum Disorder TOM (Therapy Outcome Measure) impairment score	SNOMED	FALSE						
507478	1062451000000108	Autistic Spectrum Disorder TOM (Therapy Outcome Measure) participation score	SNOMED	FALSE						
507479	1062461000000106	Autistic Spectrum Disorder TOM (Therapy Outcome Measure) wellbeing score	SNOMED	FALSE						
507480	1062471000000104	Cardiac Rehabilitation TOM (Therapy Outcome Measure) activity score	SNOMED	FALSE						
507481	1062491000000100	Cardiac Rehabilitation TOM (Therapy Outcome Measure) impairment score	SNOMED	FALSE						
507482	1062501000000106	Cardiac Rehabilitation TOM (Therapy Outcome Measure) participation score	SNOMED	FALSE						
507483	1062521000000102	Cerebral Palsy TOM (Therapy Outcome Measure) activity score	SNOMED	FALSE						
507484	1062531000000100	Cerebral Palsy TOM (Therapy Outcome Measure) carer wellbeing score	SNOMED	FALSE						
507485	1062551000000107	Cerebral Palsy TOM (Therapy Outcome Measure) participation score	SNOMED	FALSE						
507486	1062561000000105	Cerebral Palsy TOM (Therapy Outcome Measure) wellbeing score	SNOMED	FALSE						
507487	1062571000000103	Challenging Behaviour and Forensic Mental Health TOM (Therapy Outcome Measure) activity score	SNOMED	FALSE						
507488	1062581000000101	Challenging Behaviour and Forensic Mental Health TOM (Therapy Outcome Measure) carer wellbeing score	SNOMED	FALSE						
507489	1062591000000104	Challenging Behaviour and Forensic Mental Health TOM (Therapy Outcome Measure) impairment score	SNOMED	FALSE						
507490	1062601000000105	Challenging Behaviour and Forensic Mental Health TOM (Therapy Outcome Measure) participation score	SNOMED	FALSE						
507491	1062611000000107	Challenging Behaviour and Forensic Mental Health TOM (Therapy Outcome Measure) wellbeing score	SNOMED	FALSE						
507492	1062621000000101	Child Language Impairment TOM (Therapy Outcome Measure) activity score	SNOMED	FALSE						
507493	1062631000000104	Child Language Impairment TOM (Therapy Outcome Measure) carer wellbeing score	SNOMED	FALSE						
507494	1062641000000108	Child Language Impairment TOM (Therapy Outcome Measure) impairment score	SNOMED	FALSE						
507495	1062651000000106	Child Language Impairment TOM (Therapy Outcome Measure) participation score	SNOMED	FALSE						
507496	1062661000000109	Child Language Impairment TOM (Therapy Outcome Measure) wellbeing score	SNOMED	FALSE						
507497	1062681000000100	Chronic Pain TOM (Therapy Outcome Measure) carer wellbeing score	SNOMED	FALSE						
507498	1062691000000103	Chronic Pain TOM (Therapy Outcome Measure) impairment score	SNOMED	FALSE						
507499	1062701000000103	Chronic Pain TOM (Therapy Outcome Measure) participation score	SNOMED	FALSE						
507500	1062711000000101	Chronic Pain TOM (Therapy Outcome Measure) wellbeing score	SNOMED	FALSE						
507501	1062731000000109	Cleft Lip and Palate TOM (Therapy Outcome Measure) carer wellbeing score	SNOMED	FALSE						
507502	1062741000000100	Cleft Lip and Palate TOM (Therapy Outcome Measure) impairment score	SNOMED	FALSE						
507503	1062751000000102	Cleft Lip and Palate TOM (Therapy Outcome Measure) participation score	SNOMED	FALSE						
507504	1062761000000104	Cleft Lip and Palate TOM (Therapy Outcome Measure) wellbeing score	SNOMED	FALSE						
507505	1062781000000108	Cognition TOM (Therapy Outcome Measure) carer wellbeing score	SNOMED	FALSE						
507506	1062791000000105	Cognition TOM (Therapy Outcome Measure) impairment score	SNOMED	FALSE						
507507	1062801000000109	Cognition TOM (Therapy Outcome Measure) participation score	SNOMED	FALSE						
507508	1062811000000106	Cognition TOM (Therapy Outcome Measure) wellbeing score	SNOMED	FALSE						
507509	1062821000000100	Complex and Multiple Difficulty TOM (Therapy Outcome Measure) activity score	SNOMED	FALSE						
507510	1062831000000103	Complex and Multiple Difficulty TOM (Therapy Outcome Measure) carer wellbeing score	SNOMED	FALSE						
507511	1062851000000105	Complex and Multiple Difficulty TOM (Therapy Outcome Measure) participation score	SNOMED	FALSE						
507512	1062871000000101	Dementia TOM (Therapy Outcome Measure) activity score	SNOMED	FALSE						
507513	1062881000000104	Dementia TOM (Therapy Outcome Measure) carer wellbeing score	SNOMED	FALSE						
507514	1062891000000102	Dementia TOM (Therapy Outcome Measure) impairment score	SNOMED	FALSE						
507515	1062901000000101	Dementia TOM (Therapy Outcome Measure) participation score	SNOMED	FALSE						
507516	1062911000000104	Dementia TOM (Therapy Outcome Measure) wellbeing score	SNOMED	FALSE						
507517	1062921000000105	Diabetes TOM (Therapy Outcome Measure) activity score	SNOMED	FALSE						
507518	1062931000000107	Diabetes TOM (Therapy Outcome Measure) carer wellbeing score	SNOMED	FALSE						
507519	1062941000000103	Diabetes TOM (Therapy Outcome Measure) impairment score	SNOMED	FALSE						
507520	1062951000000100	Diabetes TOM (Therapy Outcome Measure) participation score	SNOMED	FALSE						
507521	1062971000000109	Dietetic Intervention for Adult Home Enteral Feeding TOM (Therapy Outcome Measure) activity score	SNOMED	FALSE						
507522	1062981000000106	Dietetic Intervention for Adult Home Enteral Feeding TOM (Therapy Outcome Measure) carer wellbeing score	SNOMED	FALSE						
507523	1062991000000108	Dietetic Intervention for Adult Home Enteral Feeding TOM (Therapy Outcome Measure) impairment score	SNOMED	FALSE						
507524	1063011000000109	Dietetic Intervention for Adult Home Enteral Feeding TOM (Therapy Outcome Measure) wellbeing score	SNOMED	FALSE						
507525	1063021000000103	Dietetic Intervention for Adult Obesity TOM (Therapy Outcome Measure) activity score	SNOMED	FALSE						
507526	1063031000000101	Dietetic Intervention for Adult Obesity TOM (Therapy Outcome Measure) carer wellbeing score	SNOMED	FALSE						
507527	1063051000000108	Dietetic Intervention for Adult Obesity TOM (Therapy Outcome Measure) participation score	SNOMED	FALSE						
507528	1063061000000106	Dietetic Intervention for Adult Obesity TOM (Therapy Outcome Measure) wellbeing score	SNOMED	FALSE						
507529	1063071000000104	Dietetic Intervention for Adult Undernutrition TOM (Therapy Outcome Measure) activity score	SNOMED	FALSE						
507530	1063101000000108	Dietetic Intervention for Adult Undernutrition TOM (Therapy Outcome Measure) participation score	SNOMED	FALSE						
507531	1063111000000105	Dietetic Intervention for Adult Undernutrition TOM (Therapy Outcome Measure) wellbeing score	SNOMED	FALSE						
507532	1063121000000104	Dietetic Intervention for Irritable Bowel Syndrome TOM (Therapy Outcome Measure) activity score	SNOMED	FALSE						
507533	1063131000000102	Dietetic Intervention for Irritable Bowel Syndrome TOM (Therapy Outcome Measure) carer wellbeing score	SNOMED	FALSE						
